14:48:16 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'loanAgreement1' defined in class path resource [config.xml]: Instantiation of bean failed; nested exception is java.lang.IllegalStateException: No bean class specified on bean definition
15:01:58 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer1': Unsatisfied dependency expressed through field 'loanAgreement'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'java.util.List<entity.LoanAgreement>' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
15:04:37 [main] INFO  main.Main - customer: Customer{customerId=1, customerName='vivek pandey', monthlyIncome=2000.0, profession='engineer', designation='developer', companyName='xyz company', phoneNumbers=[+919987642224, +919985325353], emailAddresses=[1@gmail.com, 2@gmail.com, 3@gmail.com, 4@gmail.com], loanAgreement=[LoanAgreement [loanId=1000, loanType=home loan, amount=100000.0], LoanAgreement [loanId=2000, loanType=vehicle loan, amount=50000.0], LoanAgreement [loanId=3000, loanType=consumer loan, amount=80000.0]], address=Address [addressId=100, addressLine1=address 1, addressLine2=address 2, city=faridabad, state=haryana, zip=12003], dob=2002-03-12} 
15:21:52 [main] INFO  entity.Student - init method called!!!!
15:27:10 [main] INFO  entity.Student - init method called!!!!
15:28:42 [main] INFO  entity.Student - init method called!!!!
15:29:01 [main] INFO  entity.Student - init method called!!!!
15:29:39 [main] INFO  entity.Student - init method called!!!!
15:30:13 [main] INFO  entity.Student - init method called!!!!
15:34:16 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer': Unsatisfied dependency expressed through field 'addresses'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'entity.Address' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
15:35:47 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer': Unsatisfied dependency expressed through field 'addresses'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'entity.Address' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
15:36:10 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer': Unsatisfied dependency expressed through field 'addresses'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'entity.Address' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
15:36:18 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer': Unsatisfied dependency expressed through field 'addresses'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'entity.Address' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
15:36:45 [main] INFO  entity.Student - init method called!!!!
15:37:17 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customer': Unsatisfied dependency expressed through field 'addresses'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'entity.Address' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
